City,State,Country,Latitude,Longitude,AQI (US),Main (US),AQI (CN),Main (CN),Timestamp,Temperature,Pressure,Humidity,Wind Speed,Wind Direction,Weather Icon,,
Yangon,Yangon,Myanmar,16.80528,96.15611,89,p2,43,p2,05:02.6,22,1013,73,1.54,10,04d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,128,p2,65,p2,05:03.0,24,1013,50,2.57,350,04d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,104,p2,52,p2,05:03.4,25,1013,69,4.63,100,04d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,77,p2,35,p2,05:03.7,28,1012,51,1.54,330,04d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,77,p2,35,p2,05:04.2,28,1010,51,1.54,350,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,78,p2,36,p2,05:04.5,29,1010,45,3.09,340,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,80,p2,37,p2,05:04.8,31,1009,48,2.06,330,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,70,p2,30,p2,05:05.3,31,1009,48,3.09,320,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,79,p2,37,p2,05:05.5,30,1010,55,2.57,340,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,153,p2,80,p2,05:05.8,28,1010,65,2.06,320,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,159,p2,94,p2,05:06.1,26,1011,69,2.57,310,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,167,p2,115,p2,05:06.5,24,1012,83,2.06,350,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,175,p2,133,p2,05:06.8,24,1012,83,1.03,320,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,187,p2,165,p2,05:07.1,23,1013,83,1.54,320,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,175,p2,134,p2,05:07.4,23,1012,83,1.54,320,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,155,p2,85,p2,05:07.8,22,1012,88,1.03,350,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,107,p2,54,p2,05:08.1,22,1012,88,1.54,360,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,94,p2,47,p2,05:08.4,22,1012,88,1.54,310,03n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,102,p2,51,p2,05:08.8,21,1012,94,1.03,340,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,103,p2,51,p2,05:11.4,21,1011,94,1.03,360,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,106,p2,53,p2,05:11.7,19,1011,94,2.06,350,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,120,p2,61,p2,05:12.0,17,1012,94,2.06,310,03d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,152,p2,78,p2,05:12.4,17,1012,94,2.06,280,02d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,161,p2,101,p2,05:12.7,19,1013,88,2.57,280,02d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,144,p2,73,p2,05:13.0,21,1014,88,2.57,320,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,96,p2,48,p2,05:13.4,24,1014,73,2.57,340,02d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,90,p2,44,p2,05:13.7,26,1013,61,4.12,40,02d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,86,p2,41,p2,05:14.0,28,1012,51,3.6,20,02d,,
